,Brand,Model,Variant,Year,Selling_Price,KM_Driven,Fuel,Transmission,Location
13906,Land Rover,Range Rover Evoque,Petrol HSE Dynamic,2019," 37,50,000","17,000 km",Petrol,Automatic,"Greater Kailash 1, Delhi, Delhi"
13907,Maruti Suzuki,Eeco,5 STR With AC Plus HTR CNG,2013," 3,25,000","88,000 km",CNG & Hybrids,Manual,"Pimpri Chinchwad, Pune, Maharashtra"
13908,Hyundai,Elite i20,Sportz (O) 1.4,2020," 7,49,000","14,000 km",Petrol,Manual,"Sector 37, Gurgaon, Haryana"
13909,Toyota,Innova,2.5 G (Diesel) 8 Seater,2014," 7,70,000","123,000 km",Diesel,Manual,"Udhana Gam, Surat, Gujarat"
13910,Renault,Duster,2012-2015 85PS Diesel RxL,2012," 3,49,000","140,000 km",Diesel,Manual,"Varun Niketan, Delhi, Delhi"
13911,Mahindra,XUV300,-,2019," 10,20,000","19,000 km",Diesel,Manual,"Sector 8B, Chandigarh, Chandigarh"
13912,Honda,City,i-VTEC S,2010," 3,35,000","72,000 km",Petrol,Manual,"BTM Layout, Bengaluru, Karnataka"
13913,Hyundai,Creta,1.6 SX Plus Auto,2017," 11,70,000","70,000 km",Petrol,Automatic,"Airoli, Navi Mumbai, Maharashtra"
13914,Hyundai,i20,1.2 Magna Executive,2017," 6,25,000","24,500 km",Petrol,Manual,"MG Road, Indore, Madhya Pradesh"
13915,Honda,City,i-VTEC VX,2016," 6,55,999","58,058 km",Petrol,Manual,"Kankurgachhi, Kolkata, West Bengal"
13916,Maruti Suzuki,Ciaz,Smart Hybrid Alpha,2018," 7,85,000","48,000 km",Diesel,Manual,"Netaji Subhash Place, Delhi, Delhi"
13917,Hyundai,Getz Prime,1.1 GVS Option,2009," 1,60,000","38,000 km",Petrol,Manual,"Pimpri Chinchwad, Pune, Maharashtra"
13918,Maruti Suzuki,Zen Estilo,LXI BS IV,2010," 1,60,000","64,000 km",Petrol,Manual,"Sector 37, Gurgaon, Haryana"
13919,Toyota,Innova,2004-2011 2.5 G4 Diesel 7-seater,2006," 2,95,000","124,000 km",Diesel,Manual,"Thane West, Thane, Maharashtra"
13920,Hyundai,i20,2012-2014 Magna Optional 1.2,2013," 3,25,000","63,000 km",Petrol,Manual,"Geeta Colony, Delhi, Delhi"
13921,Audi,A6,-,2016," 19,90,000","72,000 km",Petrol,Automatic,"Nandanam Nandanam, Chennai, Tamil Nadu"
13922,Maruti Suzuki,Alto 800,2012-2016 VXI,2016," 2,95,000","37,739 km",Petrol,Manual,"Andheri East, Mumbai, Maharashtra"
13923,Maruti Suzuki,Swift,-,2007," 2,85,000","38,000 km",Petrol,Manual,"Banaswadi Kasturi Nagar, Bengaluru, Karnataka"
13924,Maruti Suzuki,Swift Dzire,1.2 Vxi BSIV,2015," 4,70,000","51,000 km",Petrol,Manual,"Preet Vihar, Delhi, Delhi"
13925,Chevrolet,Beat,Diesel LS,2013," 2,85,000","43,000 km",Diesel,Manual,"Banaswadi Kasturi Nagar, Bengaluru, Karnataka"
13926,Maruti Suzuki,Wagon R,2006-2010 LXI Minor,2008," 1,95,000","47,000 km",Petrol,Manual,"Moonnamkutty, Kollam, Kerala"
13927,Chevrolet,Cruze,LTZ,2013," 3,25,000","73,000 km",Diesel,Manual,"Tilak Nagar, Delhi, Delhi"
13928,Tata,Nano,2009-2011 Lx BSIV,2010," 64,000","75,000 km",Petrol,Manual,"Chelamattom, Perumbavoor, Kerala"
13929,Hyundai,Elite i20,Asta 1.2 (O),2019," 8,50,000","26,000 km",Petrol,Manual,"Indira Nagar, Bengaluru, Karnataka"
13930,Maruti Suzuki,Swift,2011-2014 VDI,2014," 4,25,000","32,500 km",Diesel,Manual,"Sector 37, Gurgaon, Haryana"
13931,Mahindra,Bolero,SLX,2009," 3,20,000","80,000 km",Diesel,Manual,"Moonnamkutty, Kollam, Kerala"
13932,Hyundai,Santro Xing,GLS,2010," 1,65,000","134,000 km",CNG & Hybrids,Manual,"Godhra GIDC, Godhra, Gujarat"
13933,Maruti Suzuki,Swift Dzire,LXI Option,2015," 3,10,000","48,000 km",Petrol,Manual,"Dwarka, Delhi, Delhi"
13934,Chevrolet,Cruze,2012 LTZ AT,2012," 2,95,000","78,000 km",Diesel,Automatic,"Dwarka, Delhi, Delhi"
13935,Toyota,Innova Crysta,2.8Z Automatic,2016," 15,99,000","112,000 km",Diesel,Automatic,"Kalkaji, Delhi, Delhi"
13936,Toyota,Fortuner,2011-2016 4x2 Manual,2014," 12,99,000","124,000 km",Diesel,Manual,"Kalkaji, Delhi, Delhi"
13937,BMW,3 Series,320d Sport,2011," 8,75,000","78,001 km",Diesel,Automatic,"Sector 19D, Chandigarh, Chandigarh"
13938,Ford,Ecosport,1.5 TDCi Titanium Plus,2013," 4,35,000","62,000 km",Diesel,Manual,"Ashok Vihar, Delhi, Delhi"
13939,Tata,Nano,2009-2011 Cx BSIV,2010," 78,000","57,000 km",Petrol,Manual,"BTM Layout, Bengaluru, Karnataka"
13940,Toyota,Etios Liva,1.2 VX,2012," 3,80,000","46,700 km",Petrol,Manual,"Umiya Chowk, Rajkot, Gujarat"
13941,Hyundai,EON,Era +,2017," 3,20,000","35,000 km",Petrol,Manual,"Kalase Nagar, Mohol, Maharashtra"
13942,Honda,Civic,V,2008," 2,35,000","62,000 km",Petrol,Manual,"Rajendra Place, Delhi, Delhi"
13943,Toyota,Innova Crysta,2.8Z Automatic,2016," 15,99,999","55,000 km",Diesel,Automatic,"Greater Noida West, Noida, Uttar Pradesh"
13944,Mahindra,Xylo,2009-2011 E4 BS IV,2010," 3,05,000","127,000 km",Diesel,Manual,"Pimpri Chinchwad, Pune, Maharashtra"
13945,Maruti Suzuki,Ertiga,VXI CNG,2017," 6,80,000","62,000 km",CNG & Hybrids,Manual,"Patel Nagar 3, Ghaziabad, Uttar Pradesh"
13946,Land Rover,Range Rover Evoque,Petrol HSE Dynamic,2019," 37,50,000","17,000 km",Petrol,Automatic,"Greater Kailash 1, Delhi, Delhi"
13947,Maruti Suzuki,Eeco,5 STR With AC Plus HTR CNG,2013," 3,12,000","88,000 km",CNG & Hybrids,Manual,"Pimpri Chinchwad, Pune, Maharashtra"
13948,Hyundai,Elite i20,Sportz (O) 1.4,2020," 6,66,000","14,000 km",Petrol,Manual,"Sector 37, Gurgaon, Haryana"
13949,Toyota,Innova,2.5 G (Diesel) 8 Seater,2014," 8,00,000","123,000 km",Diesel,Manual,"Udhana Gam, Surat, Gujarat"
13950,Renault,Duster,2012-2015 85PS Diesel RxL,2012," 3,49,000","140,000 km",Diesel,Manual,"Varun Niketan, Delhi, Delhi"
13951,Mahindra,XUV300,-,2019," 10,50,000","19,000 km",Diesel,Manual,"Sector 8B, Chandigarh, Chandigarh"
13952,Honda,City,i-VTEC S,2010," 3,35,000","72,000 km",Petrol,Manual,"BTM Layout, Bengaluru, Karnataka"
13953,Hyundai,Creta,1.6 SX Plus Auto,2017," 11,70,000","70,000 km",Petrol,Automatic,"Airoli, Navi Mumbai, Maharashtra"
13954,Hyundai,i20,1.2 Magna Executive,2017," 6,25,000","24,500 km",Petrol,Manual,"MG Road, Indore, Madhya Pradesh"
13955,Honda,City,i-VTEC VX,2016," 6,75,000","58,058 km",Petrol,Manual,"Kankurgachhi, Kolkata, West Bengal"
13956,Maruti Suzuki,Ciaz,Smart Hybrid Alpha,2018," 7,74,000","48,000 km",Diesel,Manual,"Netaji Subhash Place, Delhi, Delhi"
13957,Hyundai,Getz Prime,1.1 GVS Option,2009," 1,25,000","38,000 km",Petrol,Manual,"Pimpri Chinchwad, Pune, Maharashtra"
13958,Maruti Suzuki,Zen Estilo,LXI BS IV,2010," 1,60,000","64,000 km",Petrol,Manual,"Sector 37, Gurgaon, Haryana"
13959,Toyota,Innova,2004-2011 2.5 G4 Diesel 7-seater,2006," 2,95,000","124,000 km",Diesel,Manual,"Thane West, Thane, Maharashtra"
13960,Hyundai,i20,2012-2014 Magna Optional 1.2,2013," 3,25,000","63,000 km",Petrol,Manual,"Geeta Colony, Delhi, Delhi"
13961,Audi,A6,-,2016," 26,50,000","72,000 km",Petrol,Automatic,"Nandanam Nandanam, Chennai, Tamil Nadu"
13962,Maruti Suzuki,Alto 800,2012-2016 VXI,2016," 2,95,000","37,739 km",Petrol,Manual,"Andheri East, Mumbai, Maharashtra"
13963,Maruti Suzuki,Swift,-,2007," 2,85,000","38,000 km",Petrol,Manual,"Banaswadi Kasturi Nagar, Bengaluru, Karnataka"
13964,Maruti Suzuki,Swift Dzire,1.2 Vxi BSIV,2015," 4,70,000","51,000 km",Petrol,Manual,"Preet Vihar, Delhi, Delhi"
13965,Chevrolet,Beat,Diesel LS,2013," 2,85,000","43,000 km",Diesel,Manual,"Banaswadi Kasturi Nagar, Bengaluru, Karnataka"
13966,Maruti Suzuki,Wagon R,2006-2010 LXI Minor,2008," 1,75,000","47,000 km",Petrol,Manual,"Moonnamkutty, Kollam, Kerala"
13967,Chevrolet,Cruze,LTZ,2013," 3,60,000","73,000 km",Diesel,Manual,"Tilak Nagar, Delhi, Delhi"
13968,Tata,Nano,2009-2011 Lx BSIV,2010," 64,000","75,000 km",Petrol,Manual,"Chelamattom, Perumbavoor, Kerala"
13969,Hyundai,Elite i20,Asta 1.2 (O),2019," 8,45,000","26,000 km",Petrol,Manual,"Indira Nagar, Bengaluru, Karnataka"
13970,Maruti Suzuki,Swift,2011-2014 VDI,2014," 4,25,000","32,500 km",Diesel,Manual,"Sector 37, Gurgaon, Haryana"
13971,Mahindra,Bolero,SLX,2009," 3,25,000","80,000 km",Diesel,Manual,"Moonnamkutty, Kollam, Kerala"
13972,Hyundai,Santro Xing,GLS,2010," 1,75,000","134,000 km",CNG & Hybrids,Manual,"Godhra GIDC, Godhra, Gujarat"
13973,Maruti Suzuki,Swift Dzire,LXI Option,2015," 3,95,000","48,000 km",Petrol,Manual,"Dwarka, Delhi, Delhi"
13974,Chevrolet,Cruze,2012 LTZ AT,2012," 3,25,000","78,000 km",Diesel,Automatic,"Dwarka, Delhi, Delhi"
13975,Toyota,Innova Crysta,2.8Z Automatic,2016," 15,99,000","112,000 km",Diesel,Automatic,"Kalkaji, Delhi, Delhi"
13976,Toyota,Fortuner,2011-2016 4x2 Manual,2014," 14,50,000","124,000 km",Diesel,Manual,"Kalkaji, Delhi, Delhi"
13977,BMW,3 Series,320d Sport,2011," 9,40,000","78,001 km",Diesel,Automatic,"Sector 19D, Chandigarh, Chandigarh"
13978,Ford,Ecosport,1.5 TDCi Titanium Plus,2013," 4,35,000","62,000 km",Diesel,Manual,"Ashok Vihar, Delhi, Delhi"
13979,Tata,Nano,2009-2011 Cx BSIV,2010," 75,000","57,000 km",Petrol,Manual,"BTM Layout, Bengaluru, Karnataka"
13980,Toyota,Etios Liva,1.2 VX,2012," 3,80,000","46,700 km",Petrol,Manual,"Umiya Chowk, Rajkot, Gujarat"
13981,Hyundai,EON,Era +,2017," 3,20,000","35,000 km",Petrol,Manual,"Kalase Nagar, Mohol, Maharashtra"
13982,Honda,Civic,V,2008," 2,35,000","62,000 km",Petrol,Manual,"Rajendra Place, Delhi, Delhi"
13983,Toyota,Innova Crysta,2.8Z Automatic,2016," 16,95,000","55,000 km",Diesel,Automatic,"Greater Noida West, Noida, Uttar Pradesh"
13984,Mahindra,Xylo,2009-2011 E4 BS IV,2010," 2,99,000","127,000 km",Diesel,Manual,"Pimpri Chinchwad, Pune, Maharashtra"
13985,Maruti Suzuki,Ertiga,VXI CNG,2017," 6,80,000","62,000 km",CNG & Hybrids,Manual,"Patel Nagar 3, Ghaziabad, Uttar Pradesh"
13986,Land Rover,Range Rover Evoque,Petrol HSE Dynamic,2019," 47,50,000","17,000 km",Petrol,Automatic,"Greater Kailash 1, Delhi, Delhi"
13987,Maruti Suzuki,Eeco,5 STR With AC Plus HTR CNG,2013," 3,12,000","88,000 km",CNG & Hybrids,Manual,"Pimpri Chinchwad, Pune, Maharashtra"
13988,Hyundai,Elite i20,Sportz (O) 1.4,2020," 6,66,000","14,000 km",Petrol,Manual,"Sector 37, Gurgaon, Haryana"
13989,Toyota,Innova,2.5 G (Diesel) 8 Seater,2014," 7,70,000","123,000 km",Diesel,Manual,"Udhana Gam, Surat, Gujarat"
13990,Renault,Duster,2012-2015 85PS Diesel RxL,2012," 3,49,000","140,000 km",Diesel,Manual,"Varun Niketan, Delhi, Delhi"
13991,Mahindra,XUV300,-,2019," 10,20,000","19,000 km",Diesel,Manual,"Sector 8B, Chandigarh, Chandigarh"
13992,Honda,City,i-VTEC S,2010," 3,35,000","72,000 km",Petrol,Manual,"BTM Layout, Bengaluru, Karnataka"
13993,Hyundai,Creta,1.6 SX Plus Auto,2017," 11,70,000","70,000 km",Petrol,Automatic,"Airoli, Navi Mumbai, Maharashtra"
13994,Hyundai,i20,1.2 Magna Executive,2017," 6,25,000","24,500 km",Petrol,Manual,"MG Road, Indore, Madhya Pradesh"
13995,Honda,City,i-VTEC VX,2016," 6,55,999","58,058 km",Petrol,Manual,"Kankurgachhi, Kolkata, West Bengal"
13996,Maruti Suzuki,Ciaz,Smart Hybrid Alpha,2018," 7,85,000","48,000 km",Diesel,Manual,"Netaji Subhash Place, Delhi, Delhi"
13997,Hyundai,Getz Prime,1.1 GVS Option,2009," 1,60,000","38,000 km",Petrol,Manual,"Pimpri Chinchwad, Pune, Maharashtra"
13998,Maruti Suzuki,Zen Estilo,LXI BS IV,2010," 1,60,000","64,000 km",Petrol,Manual,"Sector 37, Gurgaon, Haryana"
13999,Toyota,Innova,2004-2011 2.5 G4 Diesel 7-seater,2006," 2,60,000","124,000 km",Diesel,Manual,"Thane West, Thane, Maharashtra"
14000,Hyundai,i20,2012-2014 Magna Optional 1.2,2013," 3,40,000","63,000 km",Petrol,Manual,"Geeta Colony, Delhi, Delhi"
14001,Audi,A6,-,2016," 19,90,000","72,000 km",Petrol,Automatic,"Nandanam Nandanam, Chennai, Tamil Nadu"
14002,Maruti Suzuki,Alto 800,2012-2016 VXI,2016," 3,45,000","37,739 km",Petrol,Manual,"Andheri East, Mumbai, Maharashtra"
14003,Maruti Suzuki,Swift,-,2007," 2,85,000","38,000 km",Petrol,Manual,"Banaswadi Kasturi Nagar, Bengaluru, Karnataka"
14004,Maruti Suzuki,Swift Dzire,1.2 Vxi BSIV,2015," 4,70,000","51,000 km",Petrol,Manual,"Preet Vihar, Delhi, Delhi"
14005,Chevrolet,Beat,Diesel LS,2013," 2,45,000","43,000 km",Diesel,Manual,"Banaswadi Kasturi Nagar, Bengaluru, Karnataka"
14006,Maruti Suzuki,Wagon R,2006-2010 LXI Minor,2008," 1,75,000","47,000 km",Petrol,Manual,"Moonnamkutty, Kollam, Kerala"
14007,Chevrolet,Cruze,LTZ,2013," 3,60,000","73,000 km",Diesel,Manual,"Tilak Nagar, Delhi, Delhi"
14008,Tata,Nano,2009-2011 Lx BSIV,2010," 64,000","75,000 km",Petrol,Manual,"Chelamattom, Perumbavoor, Kerala"
14009,Hyundai,Elite i20,Asta 1.2 (O),2019," 8,45,000","26,000 km",Petrol,Manual,"Indira Nagar, Bengaluru, Karnataka"
14010,Maruti Suzuki,Swift,2011-2014 VDI,2014," 3,80,000","32,500 km",Diesel,Manual,"Sector 37, Gurgaon, Haryana"
14011,Mahindra,Bolero,SLX,2009," 3,20,000","80,000 km",Diesel,Manual,"Moonnamkutty, Kollam, Kerala"
14012,Hyundai,Santro Xing,GLS,2010," 1,75,000","134,000 km",CNG & Hybrids,Manual,"Godhra GIDC, Godhra, Gujarat"
14013,Maruti Suzuki,Swift Dzire,LXI Option,2015," 3,95,000","48,000 km",Petrol,Manual,"Dwarka, Delhi, Delhi"
14014,Chevrolet,Cruze,2012 LTZ AT,2012," 3,25,000","78,000 km",Diesel,Automatic,"Dwarka, Delhi, Delhi"
14015,Toyota,Innova Crysta,2.8Z Automatic,2016," 14,99,000","112,000 km",Diesel,Automatic,"Kalkaji, Delhi, Delhi"
14016,Toyota,Fortuner,2011-2016 4x2 Manual,2014," 14,50,000","124,000 km",Diesel,Manual,"Kalkaji, Delhi, Delhi"
14017,BMW,3 Series,320d Sport,2011," 9,40,000","78,001 km",Diesel,Automatic,"Sector 19D, Chandigarh, Chandigarh"
14018,Ford,Ecosport,1.5 TDCi Titanium Plus,2013," 4,35,000","62,000 km",Diesel,Manual,"Ashok Vihar, Delhi, Delhi"
14019,Tata,Nano,2009-2011 Cx BSIV,2010," 78,000","57,000 km",Petrol,Manual,"BTM Layout, Bengaluru, Karnataka"
14020,Toyota,Etios Liva,1.2 VX,2012," 3,85,000","46,700 km",Petrol,Manual,"Umiya Chowk, Rajkot, Gujarat"
14021,Hyundai,EON,Era +,2017," 3,20,000","35,000 km",Petrol,Manual,"Kalase Nagar, Mohol, Maharashtra"
14022,Honda,Civic,V,2008," 2,35,000","62,000 km",Petrol,Manual,"Rajendra Place, Delhi, Delhi"
14023,Toyota,Innova Crysta,2.8Z Automatic,2016," 16,95,000","55,000 km",Diesel,Automatic,"Greater Noida West, Noida, Uttar Pradesh"
14024,Mahindra,Xylo,2009-2011 E4 BS IV,2010," 3,05,000","127,000 km",Diesel,Manual,"Pimpri Chinchwad, Pune, Maharashtra"
14025,Maruti Suzuki,Ertiga,VXI CNG,2017," 6,80,000","62,000 km",CNG & Hybrids,Manual,"Patel Nagar 3, Ghaziabad, Uttar Pradesh"
14026,Land Rover,Range Rover Evoque,Petrol HSE Dynamic,2019," 37,50,000","17,000 km",Petrol,Automatic,"Greater Kailash 1, Delhi, Delhi"
14027,Maruti Suzuki,Eeco,5 STR With AC Plus HTR CNG,2013," 3,12,000","88,000 km",CNG & Hybrids,Manual,"Pimpri Chinchwad, Pune, Maharashtra"
14028,Hyundai,Elite i20,Sportz (O) 1.4,2020," 7,49,000","14,000 km",Petrol,Manual,"Sector 37, Gurgaon, Haryana"
14029,Toyota,Innova,2.5 G (Diesel) 8 Seater,2014," 7,70,000","123,000 km",Diesel,Manual,"Udhana Gam, Surat, Gujarat"
14030,Renault,Duster,2012-2015 85PS Diesel RxL,2012," 3,49,000","140,000 km",Diesel,Manual,"Varun Niketan, Delhi, Delhi"
14031,Mahindra,XUV300,-,2019," 10,50,000","19,000 km",Diesel,Manual,"Sector 8B, Chandigarh, Chandigarh"
14032,Honda,City,i-VTEC S,2010," 3,35,000","72,000 km",Petrol,Manual,"BTM Layout, Bengaluru, Karnataka"
14033,Hyundai,Creta,1.6 SX Plus Auto,2017," 13,29,000","70,000 km",Petrol,Automatic,"Airoli, Navi Mumbai, Maharashtra"
14034,Hyundai,i20,1.2 Magna Executive,2017," 4,65,000","24,500 km",Petrol,Manual,"MG Road, Indore, Madhya Pradesh"
14035,Honda,City,i-VTEC VX,2016," 6,55,999","58,058 km",Petrol,Manual,"Kankurgachhi, Kolkata, West Bengal"
14036,Maruti Suzuki,Ciaz,Smart Hybrid Alpha,2018," 7,85,000","48,000 km",Diesel,Manual,"Netaji Subhash Place, Delhi, Delhi"
14037,Hyundai,Getz Prime,1.1 GVS Option,2009," 1,25,000","38,000 km",Petrol,Manual,"Pimpri Chinchwad, Pune, Maharashtra"
14038,Maruti Suzuki,Zen Estilo,LXI BS IV,2010," 1,60,000","64,000 km",Petrol,Manual,"Sector 37, Gurgaon, Haryana"
14039,Toyota,Innova,2004-2011 2.5 G4 Diesel 7-seater,2006," 2,60,000","124,000 km",Diesel,Manual,"Thane West, Thane, Maharashtra"
14040,Hyundai,i20,2012-2014 Magna Optional 1.2,2013," 3,25,000","63,000 km",Petrol,Manual,"Geeta Colony, Delhi, Delhi"
14041,Audi,A6,-,2016," 26,50,000","72,000 km",Petrol,Automatic,"Nandanam Nandanam, Chennai, Tamil Nadu"
14042,Maruti Suzuki,Alto 800,2012-2016 VXI,2016," 3,45,000","37,739 km",Petrol,Manual,"Andheri East, Mumbai, Maharashtra"
14043,Maruti Suzuki,Swift,-,2007," 2,85,000","38,000 km",Petrol,Manual,"Banaswadi Kasturi Nagar, Bengaluru, Karnataka"
14044,Maruti Suzuki,Swift Dzire,1.2 Vxi BSIV,2015," 4,70,000","51,000 km",Petrol,Manual,"Preet Vihar, Delhi, Delhi"
14045,Chevrolet,Beat,Diesel LS,2013," 2,85,000","43,000 km",Diesel,Manual,"Banaswadi Kasturi Nagar, Bengaluru, Karnataka"
14046,Maruti Suzuki,Wagon R,2006-2010 LXI Minor,2008," 1,95,000","47,000 km",Petrol,Manual,"Moonnamkutty, Kollam, Kerala"
14047,Chevrolet,Cruze,LTZ,2013," 3,25,000","73,000 km",Diesel,Manual,"Tilak Nagar, Delhi, Delhi"
14048,Tata,Nano,2009-2011 Lx BSIV,2010," 64,000","75,000 km",Petrol,Manual,"Chelamattom, Perumbavoor, Kerala"
14049,Hyundai,Elite i20,Asta 1.2 (O),2019," 8,45,000","26,000 km",Petrol,Manual,"Indira Nagar, Bengaluru, Karnataka"
14050,Maruti Suzuki,Swift,2011-2014 VDI,2014," 3,80,000","32,500 km",Diesel,Manual,"Sector 37, Gurgaon, Haryana"
14051,Mahindra,Bolero,SLX,2009," 3,25,000","80,000 km",Diesel,Manual,"Moonnamkutty, Kollam, Kerala"
14052,Hyundai,Santro Xing,GLS,2010," 1,75,000","134,000 km",CNG & Hybrids,Manual,"Godhra GIDC, Godhra, Gujarat"
14053,Maruti Suzuki,Swift Dzire,LXI Option,2015," 3,10,000","48,000 km",Petrol,Manual,"Dwarka, Delhi, Delhi"
14054,Chevrolet,Cruze,2012 LTZ AT,2012," 3,25,000","78,000 km",Diesel,Automatic,"Dwarka, Delhi, Delhi"
14055,Toyota,Innova Crysta,2.8Z Automatic,2016," 15,99,000","112,000 km",Diesel,Automatic,"Kalkaji, Delhi, Delhi"
14056,Toyota,Fortuner,2011-2016 4x2 Manual,2014," 14,50,000","124,000 km",Diesel,Manual,"Kalkaji, Delhi, Delhi"
14057,BMW,3 Series,320d Sport,2011," 9,40,000","78,001 km",Diesel,Automatic,"Sector 19D, Chandigarh, Chandigarh"
14058,Ford,Ecosport,1.5 TDCi Titanium Plus,2013," 4,25,000","62,000 km",Diesel,Manual,"Ashok Vihar, Delhi, Delhi"
14059,Tata,Nano,2009-2011 Cx BSIV,2010," 78,000","57,000 km",Petrol,Manual,"BTM Layout, Bengaluru, Karnataka"
14060,Toyota,Etios Liva,1.2 VX,2012," 3,85,000","46,700 km",Petrol,Manual,"Umiya Chowk, Rajkot, Gujarat"
14061,Hyundai,EON,Era +,2017," 3,25,000","35,000 km",Petrol,Manual,"Kalase Nagar, Mohol, Maharashtra"
14062,Honda,Civic,V,2008," 2,10,000","62,000 km",Petrol,Manual,"Rajendra Place, Delhi, Delhi"
14063,Toyota,Innova Crysta,2.8Z Automatic,2016," 15,99,999","55,000 km",Diesel,Automatic,"Greater Noida West, Noida, Uttar Pradesh"
14064,Mahindra,Xylo,2009-2011 E4 BS IV,2010," 3,05,000","127,000 km",Diesel,Manual,"Pimpri Chinchwad, Pune, Maharashtra"
14065,Maruti Suzuki,Ertiga,VXI CNG,2017," 7,25,000","62,000 km",CNG & Hybrids,Manual,"Patel Nagar 3, Ghaziabad, Uttar Pradesh"
14066,Land Rover,Range Rover Evoque,Petrol HSE Dynamic,2019," 47,50,000","17,000 km",Petrol,Automatic,"Greater Kailash 1, Delhi, Delhi"
14067,Maruti Suzuki,Eeco,5 STR With AC Plus HTR CNG,2013," 3,25,000","88,000 km",CNG & Hybrids,Manual,"Pimpri Chinchwad, Pune, Maharashtra"
14068,Hyundai,Elite i20,Sportz (O) 1.4,2020," 6,66,000","14,000 km",Petrol,Manual,"Sector 37, Gurgaon, Haryana"
14069,Toyota,Innova,2.5 G (Diesel) 8 Seater,2014," 7,70,000","123,000 km",Diesel,Manual,"Udhana Gam, Surat, Gujarat"
14070,Renault,Duster,2012-2015 85PS Diesel RxL,2012," 3,00,000","140,000 km",Diesel,Manual,"Varun Niketan, Delhi, Delhi"
14071,Mahindra,XUV300,-,2019," 10,20,000","19,000 km",Diesel,Manual,"Sector 8B, Chandigarh, Chandigarh"
14072,Honda,City,i-VTEC S,2010," 3,35,000","72,000 km",Petrol,Manual,"BTM Layout, Bengaluru, Karnataka"
14073,Hyundai,Creta,1.6 SX Plus Auto,2017," 13,29,000","70,000 km",Petrol,Automatic,"Airoli, Navi Mumbai, Maharashtra"
14074,Hyundai,i20,1.2 Magna Executive,2017," 4,65,000","24,500 km",Petrol,Manual,"MG Road, Indore, Madhya Pradesh"
14075,Honda,City,i-VTEC VX,2016," 6,55,999","58,058 km",Petrol,Manual,"Kankurgachhi, Kolkata, West Bengal"
14076,Maruti Suzuki,Ciaz,Smart Hybrid Alpha,2018," 7,74,000","48,000 km",Diesel,Manual,"Netaji Subhash Place, Delhi, Delhi"
14077,-,-,-,-,-,-,-,-,-
14078,Maruti Suzuki,Zen Estilo,LXI BS IV,2010," 1,65,000","64,000 km",Petrol,Manual,"Sector 37, Gurgaon, Haryana"
14079,Toyota,Innova,2004-2011 2.5 G4 Diesel 7-seater,2006," 2,95,000","124,000 km",Diesel,Manual,"Thane West, Thane, Maharashtra"
14080,Hyundai,i20,2012-2014 Magna Optional 1.2,2013," 3,25,000","63,000 km",Petrol,Manual,"Geeta Colony, Delhi, Delhi"
14081,Audi,A6,-,2016," 19,90,000","72,000 km",Petrol,Automatic,"Nandanam Nandanam, Chennai, Tamil Nadu"
14082,Maruti Suzuki,Alto 800,2012-2016 VXI,2016," 3,45,000","37,739 km",Petrol,Manual,"Andheri East, Mumbai, Maharashtra"
14083,Maruti Suzuki,Swift,-,2007," 2,85,000","38,000 km",Petrol,Manual,"Banaswadi Kasturi Nagar, Bengaluru, Karnataka"
14084,Maruti Suzuki,Swift Dzire,1.2 Vxi BSIV,2015," 4,70,000","51,000 km",Petrol,Manual,"Preet Vihar, Delhi, Delhi"
14085,Chevrolet,Beat,Diesel LS,2013," 2,45,000","43,000 km",Diesel,Manual,"Banaswadi Kasturi Nagar, Bengaluru, Karnataka"
14086,Maruti Suzuki,Wagon R,2006-2010 LXI Minor,2008," 1,95,000","47,000 km",Petrol,Manual,"Moonnamkutty, Kollam, Kerala"
14087,Chevrolet,Cruze,LTZ,2013," 3,60,000","73,000 km",Diesel,Manual,"Tilak Nagar, Delhi, Delhi"
14088,Tata,Nano,2009-2011 Lx BSIV,2010," 64,000","75,000 km",Petrol,Manual,"Chelamattom, Perumbavoor, Kerala"
14089,Hyundai,Elite i20,Asta 1.2 (O),2019," 8,45,000","26,000 km",Petrol,Manual,"Indira Nagar, Bengaluru, Karnataka"
14090,Maruti Suzuki,Swift,2011-2014 VDI,2014," 4,25,000","32,500 km",Diesel,Manual,"Sector 37, Gurgaon, Haryana"
14091,Mahindra,Bolero,SLX,2009," 3,20,000","80,000 km",Diesel,Manual,"Moonnamkutty, Kollam, Kerala"
14092,Hyundai,Santro Xing,GLS,2010," 1,65,000","134,000 km",CNG & Hybrids,Manual,"Godhra GIDC, Godhra, Gujarat"
14093,Maruti Suzuki,Swift Dzire,LXI Option,2015," 3,95,000","48,000 km",Petrol,Manual,"Dwarka, Delhi, Delhi"
14094,Chevrolet,Cruze,2012 LTZ AT,2012," 3,25,000","78,000 km",Diesel,Automatic,"Dwarka, Delhi, Delhi"
14095,Toyota,Innova Crysta,2.8Z Automatic,2016," 14,99,000","112,000 km",Diesel,Automatic,"Kalkaji, Delhi, Delhi"
14096,Toyota,Fortuner,2011-2016 4x2 Manual,2014," 14,50,000","124,000 km",Diesel,Manual,"Kalkaji, Delhi, Delhi"
14097,BMW,3 Series,320d Sport,2011," 8,75,000","78,001 km",Diesel,Automatic,"Sector 19D, Chandigarh, Chandigarh"
14098,Ford,Ecosport,1.5 TDCi Titanium Plus,2013," 4,25,000","62,000 km",Diesel,Manual,"Ashok Vihar, Delhi, Delhi"
