,Brand,Model,Variant,Year,Selling_Price,KM_Driven,Fuel,Transmission,Location
8400,Hyundai,i20,2012-2014 Magna Optional 1.2,2013," 3,25,000","63,000 km",Petrol,Manual,"Geeta Colony, Delhi, Delhi"
8401,Audi,A6,-,2016," 26,50,000","72,000 km",Petrol,Automatic,"Nandanam Nandanam, Chennai, Tamil Nadu"
8402,Maruti Suzuki,Alto 800,2012-2016 VXI,2016," 3,45,000","37,739 km",Petrol,Manual,"Andheri East, Mumbai, Maharashtra"
8403,Maruti Suzuki,Swift,-,2007," 2,85,000","38,000 km",Petrol,Manual,"Banaswadi Kasturi Nagar, Bengaluru, Karnataka"
8404,Maruti Suzuki,Swift Dzire,1.2 Vxi BSIV,2015," 4,70,000","51,000 km",Petrol,Manual,"Preet Vihar, Delhi, Delhi"
8405,Chevrolet,Beat,Diesel LS,2013," 2,85,000","43,000 km",Diesel,Manual,"Banaswadi Kasturi Nagar, Bengaluru, Karnataka"
8406,Maruti Suzuki,Wagon R,2006-2010 LXI Minor,2008," 1,75,000","47,000 km",Petrol,Manual,"Moonnamkutty, Kollam, Kerala"
8407,Chevrolet,Cruze,LTZ,2013," 3,60,000","73,000 km",Diesel,Manual,"Tilak Nagar, Delhi, Delhi"
8408,Tata,Nano,2009-2011 Lx BSIV,2010," 64,000","75,000 km",Petrol,Manual,"Chelamattom, Perumbavoor, Kerala"
8409,Hyundai,Elite i20,Asta 1.2 (O),2019," 8,50,000","26,000 km",Petrol,Manual,"Indira Nagar, Bengaluru, Karnataka"
8410,Maruti Suzuki,Swift,2011-2014 VDI,2014," 4,25,000","32,500 km",Diesel,Manual,"Sector 37, Gurgaon, Haryana"
8411,Mahindra,Bolero,SLX,2009," 3,20,000","80,000 km",Diesel,Manual,"Moonnamkutty, Kollam, Kerala"
8412,Hyundai,Santro Xing,GLS,2010," 1,65,000","134,000 km",CNG & Hybrids,Manual,"Godhra GIDC, Godhra, Gujarat"
8413,Maruti Suzuki,Swift Dzire,LXI Option,2015," 4,35,000","48,000 km",Petrol,Manual,"Dwarka, Delhi, Delhi"
8414,Chevrolet,Cruze,2012 LTZ AT,2012," 3,25,000","78,000 km",Diesel,Automatic,"Dwarka, Delhi, Delhi"
8415,Toyota,Innova Crysta,2.8Z Automatic,2016," 15,99,000","112,000 km",Diesel,Automatic,"Kalkaji, Delhi, Delhi"
8416,Toyota,Fortuner,2011-2016 4x2 Manual,2014," 13,90,000","124,000 km",Diesel,Manual,"Kalkaji, Delhi, Delhi"
8417,BMW,3 Series,320d Sport,2011," 8,75,000","78,001 km",Diesel,Automatic,"Sector 19D, Chandigarh, Chandigarh"
